right_ascension,declination,priority
0.4183471111111111,0.5264540555555556,1
0.12645591666666667,0.5273893611111111,2
0.9017776111111111,0.5276589722222222,2
0.9330056388888889,0.5276976111111111,2
0.42103033333333334,0.5278358055555555,1
0.3771690555555556,0.5280386666666667,2
0.37671005555555553,0.5280936666666667,1
0.3477774722222222,0.5292702222222222,1
0.9704506388888889,0.5298044722222223,2
0.4402675277777778,0.5303106666666667,1
0.37248030555555556,0.5311690833333333,2
0.4083228333333333,0.5312758611111111,1
0.9211836111111111,0.5331466111111112,2
0.09344669444444444,0.5345647777777778,2
0.37034297222222223,0.5352439722222222,2
0.39278680555555556,0.5356645277777777,1
0.8043493055555555,0.5357185833333333,2
0.9616450277777777,0.5364049166666667,2
0.3551944722222222,0.5368848333333334,1
0.4127802222222222,0.5370324444444444,1
0.39560236111111113,0.5382436388888889,1
0.3327142222222222,0.5383965277777778,2
0.34478791666666664,0.5387218611111111,2
0.9466972499999999,0.5387346666666667,2
0.37740508333333334,0.5393256388888888,1
0.10234855555555555,0.5393943055555556,2
0.3723327222222222,0.5395413611111111,2
0.3721979444444445,0.5411177777777777,2
0.40834433333333336,0.5421153055555555,2
0.9679776944444445,0.542704861111111,2
0.35551222222222223,0.5430045277777777,2
0.8666680277777777,0.5437350555555556,2
0.4208801944444444,0.54378775,1
0.886311111111111,0.5447571111111111,2
0.4471863333333333,0.54591725,2
0.3565691111111111,0.5462045555555556,2
0.8733575555555555,0.5468290277777778,2
0.9085964722222222,0.5474996388888889,2
0.38044494444444443,0.5478818333333334,2
0.4404241388888889,0.5481676111111111,1
0.9473331111111111,0.5485335555555556,2
0.44264655555555554,0.5500209166666666,1
0.8855297777777779,0.5506596944444444,2
0.4445813611111111,0.5515884999999999,1
0.9286249444444444,0.5521940555555556,2
0.8725664722222223,0.5526424166666667,2
0.39368288888888886,0.5533849722222222,1
0.3955430555555555,0.5549882222222222,1
0.39897994444444446,0.5565828333333334,1
0.88681275,0.5577840833333333,2
0.7680770555555556,0.5616438055555556,2
0.9000688888888889,0.562424,2
0.9171515555555556,0.5658441944444444,2
0.42957477777777775,0.5672744166666667,1
0.9675653055555555,0.5690266111111112,2
0.96024075,0.5773340555555555,2
0.27622691666666666,0.59102025,2
0.31034630555555553,0.5947939722222222,2
0.7768070555555555,0.6009143611111112,2
